vtkOriginalIndices,Py,Pz,Y,Z,__vtkIsSelected__
0,-4.64762e-021,-5.56412e-020,-0.00060948,0.003855,0
1,2.10295e-020,-2.19837e-019,-0.000569954,0.00390222,0
2,5.07888e-020,-4.19698e-019,-0.000530429,0.00394944,0
3,4.601e-020,-2.49309e-019,-0.000631119,0.0038931,0
4,6.32177e-020,-3.83217e-019,-0.000591594,0.00394032,0
5,9.9359e-020,-4.53154e-019,-0.000652759,0.0039312,0
6,1.68336e-020,-1.5292e-019,-0.000603518,0.00388344,0
7,4.4792e-020,-3.3971e-019,-0.000563992,0.00393066,0
8,5.9976e-020,-3.18549e-019,-0.000625157,0.00392154,0
9,-1.03597e-020,1.44144e-020,-0.000665455,0.00381622,0
10,2.14706e-020,-1.01919e-019,-0.000740325,0.00384393,0
11,5.80573e-020,-2.3706e-019,-0.000815194,0.00387165,0
12,-3.27402e-022,3.50611e-021,-0.000740625,0.00375752,0
13,3.33462e-020,-1.18942e-019,-0.000815494,0.00378523,0
14,1.02685e-020,-8.813e-021,-0.000815794,0.00369882,0
15,3.42959e-021,-2.72474e-020,-0.000715468,0.00380589,0
16,3.57402e-020,-1.45109e-019,-0.000790338,0.0038336,0
17,1.33177e-020,-3.76406e-020,-0.000790638,0.00374719,0
18,1.80583e-019,-1.37592e-019,-0.00306262,0.00254605,0
19,6.31277e-020,-4.32165e-020,-0.00303259,0.00250568,0
20,-2.54885e-020,2.64267e-020,-0.00300255,0.00246532,0
21,1.5053e-019,-1.17039e-019,-0.00302691,0.00258778,0
22,5.8011e-020,-4.48803e-020,-0.00299687,0.00254742,0
23,1.62585e-019,-1.34066e-019,-0.00299119,0.00262952,0
24,1.29253e-019,-9.75093e-020,-0.0030407,0.00254651,0
25,2.04407e-020,-9.92703e-021,-0.00301067,0.00250614,0
26,1.00248e-019,-7.76745e-020,-0.00300499,0.00258824,0
27,1.15816e-019,-1.17298e-019,-0.00257815,0.00298818,0
28,4.93285e-020,-2.74968e-020,-0.00255807,0.00291022,0
29,-5.62931e-021,4.62248e-020,-0.00253799,0.00283226,0
30,3.99218e-020,-1.98076e-020,-0.00248889,0.00295422,0
31,-4.62183e-021,3.99625e-020,-0.0024688,0.00287626,0
32,2.58334e-021,3.09993e-020,-0.00239962,0.00292026,0
33,5.38426e-020,-3.83345e-020,-0.0025417,0.00295087,0
34,5.58458e-021,2.66158e-020,-0.00252162,0.00287291,0
35,1.17389e-020,1.82979e-020,-0.00245244,0.00291692,0
36,-9.71333e-020,-1.07449e-019,0.00239869,0.00315519,0
37,-7.08928e-020,-5.49109e-020,0.00234599,0.003155,0
38,-3.80707e-020,1.0994e-020,0.00229329,0.00315482,0
39,-7.5247e-020,-6.02691e-020,0.00235692,0.00309447,0
40,-4.41677e-020,2.28288e-021,0.00230422,0.00309429,0
41,-5.00602e-020,-6.1328e-021,0.00231514,0.00303376,0
42,-8.14589e-020,-7.49131e-020,0.0023672,0.00313489,0
43,-5.13828e-020,-1.4279e-020,0.0023145,0.0031347,0
44,-5.68565e-020,-2.19528e-020,0.00232542,0.00307417,0
45,-1.59205e-019,-1.0782e-019,0.00308885,0.00251561,0
46,-1.3374e-019,-8.69805e-020,0.00306442,0.00247263,0
47,-1.08474e-019,-6.52665e-020,0.00304,0.00242965,0
48,-1.64374e-019,-1.13707e-019,0.00312052,0.0024753,0
49,-1.64431e-019,-1.12865e-019,0.00309609,0.00243232,0
50,-1.98869e-019,-1.42684e-019,0.00315219,0.00243499,0
51,-1.54038e-019,-1.04138e-019,0.00309126,0.00248785,0
52,-1.28566e-019,-8.32695e-020,0.00306684,0.00244486,0
53,-1.64012e-019,-1.1383e-019,0.00312293,0.00244754,0
54,-1.10917e-019,-4.69261e-020,0.00349215,0.00190092,0
55,-9.89434e-020,-4.17895e-020,0.00346063,0.00182104,0
56,-7.40802e-020,-3.02798e-020,0.0034291,0.00174117,0
57,-1.09393e-019,-4.3018e-020,0.00353176,0.00182443,0
58,-1.0555e-019,-4.09315e-020,0.00350024,0.00174456,0
59,-1.14071e-019,-4.28071e-020,0.00357138,0.00174794,0
60,-1.05177e-019,-4.29929e-020,0.00349485,0.0018488,0
61,-9.20545e-020,-3.69507e-020,0.00346332,0.00176892,0
62,-1.10224e-019,-4.24229e-020,0.00353446,0.00177231,0
63,-2.25232e-021,1.10756e-020,0.00136599,0.00152274,0
64,1.17814e-021,9.99876e-021,0.00139645,0.00159826,0
65,4.87332e-021,8.83626e-021,0.00142691,0.00167378,0
66,2.07581e-021,1.34507e-020,0.00131532,0.00158278,0
67,5.6786e-021,1.2333e-020,0.00134578,0.0016583,0
68,6.73758e-021,1.60026e-020,0.00126464,0.00164282,0
69,3.11956e-022,1.14261e-020,0.00135925,0.00156793,0
70,3.80334e-021,1.03852e-020,0.00138971,0.00164345,0
71,4.58096e-021,1.37298e-020,0.00130858,0.00162797,0
72,-3.67684e-021,9.73628e-021,0.00140592,0.00150748,0
73,-3.96268e-021,7.97195e-021,0.00147504,0.00152172,0
74,-4.25326e-021,6.17432e-021,0.00154416,0.00153596,0
75,-2.96838e-022,8.68618e-021,0.00143638,0.001583,0
76,-5.53875e-022,6.90074e-021,0.0015055,0.00159724,0
77,3.22141e-021,7.47889e-021,0.00146684,0.00165852,0
78,-2.53284e-021,8.85563e-021,0.00143911,0.0015374,0
79,-2.79738e-021,7.1471e-021,0.00150823,0.00155164,0
80,7.50179e-022,7.70906e-021,0.00146957,0.00161292,0
81,-5.15056e-021,5.8096e-021,0.00155208,0.00149157,0
82,-4.84874e-021,7.6445e-021,0.00148296,0.00147732,0
83,-4.55156e-021,9.44652e-021,0.00141385,0.00146308,0
84,-2.64052e-021,6.29279e-021,0.00153719,0.00141967,0
85,-2.19657e-021,8.22686e-021,0.00146807,0.00140543,0
86,-3.67972e-022,6.7377e-021,0.0015223,0.00134777,0
87,-3.83209e-021,6.91849e-021,0.00152408,0.00146285,0
88,-3.57087e-021,8.53315e-021,0.00145496,0.00144861,0
89,-1.65407e-021,7.31072e-021,0.00150919,0.00139095,0
90,-6.75184e-021,5.54149e-021,0.0024007,0.0015533,0
91,-8.39729e-021,5.66577e-021,0.00248394,0.00155199,0
92,-1.1966e-020,4.86777e-021,0.00256718,0.00155069,0
93,-5.95e-021,5.36272e-021,0.00245079,0.00162668,0
94,-9.13685e-021,4.50786e-021,0.00253403,0.00162537,0
95,-5.99479e-021,4.13845e-021,0.00250088,0.00170006,0
96,-7.05331e-021,5.52357e-021,0.00244514,0.00157732,0
97,-8.72353e-021,5.64961e-021,0.00252838,0.00157602,0
